Time,Pd*L0,Pd*L1,Pd*L2,Pd*L3,CO*TopL0,CO*TopL1,CO*BridgeL00,CO*BridgeL01,CO*BridgeL11,CO*HollowL000,CO*HollowL001,CO*HollowL011,CO*HollowL111,CO*Total
0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2659412341004503e-08,20,0,0,0,0,0,0,0,0,0,0,0,0,0
8.44512519821283e-08,19,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0729867909124226e-07,17,3,0,0,0,0,0,0,0,0,0,0,0,0
1.6814847985535798e-07,17,3,0,0,0,0,0,0,0,0,0,0,0,0
2.0818450532232106e-07,16,4,0,0,0,0,0,0,0,0,0,0,0,0
2.5212890951842486e-07,15,5,0,0,0,0,0,0,0,0,0,0,0,0
2.978631775174534e-07,16,4,0,0,0,0,0,0,0,0,0,0,0,0
3.310011161953422e-07,16,4,0,0,0,0,0,0,0,0,0,0,0,0
3.804679284094395e-07,15,5,0,0,0,0,0,0,0,0,0,0,0,0
4.283397635964421e-07,15,5,0,0,0,0,0,0,0,0,0,0,0,0
4.815107286706582e-07,15,5,0,0,0,0,0,0,0,0,0,0,0,0
5.206098776052533e-07,15,5,0,0,0,0,0,0,0,0,0,0,0,0
5.664669540993354e-07,17,3,0,0,0,0,0,0,0,0,0,0,0,0
6.000480985259263e-07,17,3,0,0,0,0,0,0,0,0,0,0,0,0
6.407174998916479e-07,16,4,0,0,0,0,0,0,0,0,0,0,0,0
6.970297373900546e-07,14,6,0,0,0,0,0,0,0,0,0,0,0,0
7.506133223505718e-07,14,6,0,0,0,0,0,0,0,0,0,0,0,0
8.204874586607867e-07,14,6,0,0,0,0,0,0,0,0,0,0,0,0
8.644222915802289e-07,14,6,0,0,0,0,0,0,0,0,0,0,0,0
9.314755834960788e-07,14,6,0,0,0,0,0,0,0,0,0,0,0,0
9.845926038942633e-07,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.0407213441532634e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.0817906571980825e-06,15,5,0,0,0,0,0,0,0,0,0,0,0,0
1.1705382379142892e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.2561169605048338e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.348956555284349e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.4260773259879394e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.5212401701227816e-06,15,5,0,0,0,0,0,0,0,0,0,0,0,0
1.5813891924212693e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.6513302912100346e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.6983202279277663e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.7573504289444628e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.8178919529565268e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.8884461112434365e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
1.958896940159671e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.013412025736819e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.079578628884788e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.142669312090462e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.2042423467460506e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.2775492676810347e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.334031979665893e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.3889426318763224e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.4516396208226847e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.510627735781565e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.5680538282700216e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.643809765486602e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
2.716255178511658e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.7805252027708733e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.8363090251381806e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.9011627421419505e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2.957019417353247e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.0182957390198374e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.0717006018592447e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.1175074758014155e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
3.167530635744451e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.223164743579292e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.2869812403399187e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.3533357904795326e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.4125458294252627e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.4699587141155846e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.5306833435785495e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.590485704977428e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.6525799797228773e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.693573719265739e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.755647407423911e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.82342476614522e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.8851367930113895e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
3.977485449366413e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.04769502281909e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.103546947607127e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.149144383017206e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.207346255325425e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.2677369395049876e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.30714727457514e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.3741310009207265e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.429804245434628e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.486224813586707e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.546746457959453e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.601116783885216e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.660434521588002e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.711609019567712e-06,15,5,0,0,0,0,0,0,0,0,0,0,0,0
4.770853657090739e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.812327733460365e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.871805319645035e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
4.935275100172558e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.0080640807597925e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.0532480403235055e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.114937218435769e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.186758536603823e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.309116125120402e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.3832262236123535e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.477238853824231e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.5735788360631965e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
5.641881075237951e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
5.731799858934748e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
5.841374562218584e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
5.924782315289813e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.027847607955524e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.113237065221472e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.2170188815276305e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.303764698749029e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.381628212460867e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.468249442508021e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.558815918587223e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.64647727913806e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.735364549511982e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.832663919447375e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.915843638010122e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
6.9982683061057025e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
7.088500520376677e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
7.183085739039915e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
7.289835952936362e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
7.394390720413377e-06,13,7,0,0,0,0,0,0,0,0,0,0,0,0
7.496699240002403e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
7.57044867314713e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
7.65479202580063e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
7.718906128840777e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
7.784132898775994e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
7.869938255485745e-06,14,6,0,0,0,0,0,0,0,0,0,0,0,0
