Time,Pd*L0,Pd*L1,Pd*L2,Pd*L3,CO*TopL0,CO*TopL1,CO*BridgeL00,CO*BridgeL01,CO*BridgeL11,CO*HollowL000,CO*HollowL001,CO*HollowL011,CO*HollowL111,CO*Total
0.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
4.034272123191936e-06,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4986239141643195e-05,32,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033759995214488,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.033829094564760374,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03391847276669051,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03399359478547353,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.034062022500411876,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03413397997837989,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03420045059273988,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03428743128059075,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03436981676855693,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03443588653243596,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03450097610260294,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.034566421901386465,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03463945743343202,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03470082296935935,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03476790506042179,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0348451577242007,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03490905107488444,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03499664351512957,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03506152745452501,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.035137943335224534,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03520588785937075,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.035273115820657105,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03535443479651065,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.035419738737082804,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03549484444760074,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.035561849709622194,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03564508314511745,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.035715633754323656,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.035790171420317846,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03585910777052739,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.035935784341166434,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03601343897233121,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.036090187787629284,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03616920569732805,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.036244797058114835,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03631803963531982,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0363967677080104,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03646280730831514,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0365413288579258,32,0,0,0,0,0,1,0,0,0,0,0,0,1
0.03660613601498125,32,0,0,0,0,0,1,0,0,0,0,0,0,1
