Time,Pd*L0,Pd*L1,Pd*L2,Pd*L3
0.0,8,0,0,0
0.1,8,0,0,0
0.2,8,0,0,0
0.30000000000000004,8,0,0,0
0.4,8,0,0,0
0.5,8,0,0,0
0.6,8,0,0,0
0.7,8,0,0,0
0.7999999999999999,8,0,0,0
0.8999999999999999,8,0,0,0
0.9999999999999999,8,0,0,0
1.0999999999999999,8,0,0,0
1.2,8,0,0,0
1.3,8,0,0,0
1.4000000000000001,8,0,0,0
1.5000000000000002,8,0,0,0
1.6000000000000003,7,1,0,0
1.7000000000000004,7,1,0,0
1.8000000000000005,7,1,0,0
1.9000000000000006,7,1,0,0
2.0000000000000004,7,1,0,0
2.1000000000000005,7,1,0,0
2.2000000000000006,7,1,0,0
2.3000000000000007,7,1,0,0
2.400000000000001,7,1,0,0
2.500000000000001,7,1,0,0
2.600000000000001,7,1,0,0
2.700000000000001,7,1,0,0
2.800000000000001,7,1,0,0
2.9000000000000012,7,1,0,0
3.0000000000000013,6,2,0,0
3.1000000000000014,6,2,0,0
3.2000000000000015,6,2,0,0
3.3000000000000016,6,2,0,0
3.4000000000000017,6,2,0,0
3.5000000000000018,6,2,0,0
3.600000000000002,6,2,0,0
3.700000000000002,6,2,0,0
3.800000000000002,6,2,0,0
3.900000000000002,6,2,0,0
4.000000000000002,6,2,0,0
4.100000000000001,6,2,0,0
4.200000000000001,6,2,0,0
4.300000000000001,6,2,0,0
4.4,6,2,0,0
4.5,6,2,0,0
4.6,6,2,0,0
4.699999999999999,6,2,0,0
4.799999999999999,6,2,0,0
4.899999999999999,6,2,0,0
4.999999999999998,6,2,0,0
5.099999999999998,6,2,0,0
5.1999999999999975,6,2,0,0
5.299999999999997,6,2,0,0
5.399999999999997,6,2,0,0
5.4999999999999964,6,2,0,0
5.599999999999996,6,2,0,0
5.699999999999996,6,2,0,0
5.799999999999995,6,2,0,0
5.899999999999995,6,2,0,0
5.999999999999995,6,2,0,0
6.099999999999994,6,2,0,0
