Time,Pd*L0,Pd*L1,Pd*L2,Pd*L3,CO*Top,CO*Bridge,CO*Hollow,CO*Total
0.0,18,6,0,0,0,0,0,0
0.08565326408706653,18,6,0,0,0,0,0,0
0.22562688993704041,18,6,0,0,0,0,0,0
0.3434666461985785,18,6,0,0,0,0,0,0
0.4514481169429273,18,6,0,0,0,0,0,0
0.5698048684982264,18,6,0,0,0,0,0,0
0.6839522128125215,18,6,0,0,0,0,0,0
0.8003926401455921,18,6,0,0,0,0,0,0
0.9017022189827213,18,6,0,0,0,0,0,0
1.0224468433907767,18,6,0,0,0,0,0,0
1.1392434531440132,18,6,0,0,0,0,0,0
1.2379509037867422,18,6,0,0,0,0,0,0
1.3418804303405556,18,6,0,0,0,0,0,0
1.466831309970124,18,6,0,0,0,0,0,0
1.5785745300890108,18,6,0,0,0,0,0,0
1.6747526286428354,18,6,0,0,0,0,0,0
1.726717179937659,19,5,0,0,0,0,0,0
1.7354516345093534,19,5,0,0,0,0,0,0
1.7435855510199039,19,5,0,0,0,0,0,0
1.7499020805128915,19,5,0,0,0,0,0,0
1.7500205617720819,19,5,0,0,0,0,0,0
1.7501297688624942,19,5,0,0,0,0,0,0
1.7503429546038063,19,5,0,0,0,0,0,0
1.7504671513959016,19,5,0,0,0,0,0,0
1.7505717146891064,19,5,0,0,0,0,0,0
1.750659203368519,19,5,0,0,0,0,0,0
1.7507462824803002,19,5,0,0,0,0,0,0
1.7508420152996784,19,5,0,0,0,0,0,0
1.750932061549389,19,5,0,0,0,0,0,0
1.751186725042784,19,5,0,0,0,0,0,0
1.7517349134865559,19,5,0,0,0,0,0,0
1.7518303741847006,19,5,0,0,0,0,0,0
1.7519122077826192,19,5,0,0,0,0,0,0
1.752018509405749,19,5,0,0,0,0,0,0
1.7521116825595469,19,5,0,0,0,0,0,0
1.752190345733431,19,5,0,0,0,0,0,0
1.7522757643571185,19,5,0,0,0,0,0,0
1.7523899555137363,19,5,0,0,0,0,0,0
1.7524734453104487,19,5,0,0,0,0,0,0
1.752543578497774,19,5,0,0,0,0,0,0
1.7526364015275904,19,5,0,0,0,0,0,0
1.7527487976279088,19,5,0,0,0,0,0,0
1.7528312848149659,19,5,0,0,0,0,0,0
1.7529376704341606,19,5,0,0,0,0,0,0
1.7530257347184772,19,5,0,0,0,0,0,0
1.7531376896593287,19,5,0,0,0,0,0,0
1.753242514496162,19,5,0,0,0,0,0,0
1.7533333876325095,19,5,0,0,0,0,0,0
1.7534279518338542,19,5,0,0,0,0,0,0
1.753501689167761,19,5,0,0,0,0,0,0
1.7535620840691852,19,5,0,0,0,0,0,0
1.7536415829330476,19,5,0,0,0,0,0,0
1.7537190108564673,19,5,0,0,0,0,0,0
1.7538148572714995,19,5,0,0,0,0,0,0
1.7539071062403413,19,5,0,0,0,0,0,0
1.7539950760675624,19,5,0,0,0,0,0,0
1.7540822689204398,19,5,0,0,0,0,0,0
1.754167353602188,19,5,0,0,0,0,0,0
1.7547024830765752,19,5,0,0,0,0,0,0
1.7548136125615934,19,5,0,0,0,0,0,0
1.7549297695385007,19,5,0,0,0,0,0,0
1.7550235420132463,19,5,0,0,0,0,0,0
1.7551404961546624,19,5,0,0,0,0,0,0
1.755226204455213,19,5,0,0,0,0,0,0
1.7553238566064266,19,5,0,0,0,0,0,0
1.755410336403498,19,5,0,0,0,0,0,0
1.7554998315064851,19,5,0,0,0,0,0,0
1.7555605870476523,19,5,0,0,0,0,0,0
1.7555605870476523,19,5,0,0,0,0,0,0
1.755638166993424,19,5,0,0,0,0,0,0
